timestamp,username,followers,likes,video_count
2026-06-01 07:13:01,heartopia_th,198921,1620318,866
2026-06-01 07:13:01,heartopia_jp,61728,784251,1030
2026-06-01 07:13:01,heartopia_tw,29999,214576,977
2026-06-02 07:13:02,heartopia_en,639606,7375716,1055
2026-06-02 07:13:02,heartopia_th,199065,1624677,867
2026-06-02 07:13:02,heartopia_jp,61719,784892,1030
2026-06-02 07:13:02,heartopia_tw,30013,214763,977
2026-06-03 07:13:01,heartopia_en,639622,7381435,1055
2026-06-03 07:13:01,heartopia_th,199297,1632340,881
2026-06-03 07:13:01,heartopia_jp,61690,785640,1030
2026-06-03 07:13:01,heartopia_tw,30035,215374,977
2026-06-05 07:13:01,heartopia_en,639265,7391000,1055
2026-06-05 07:13:01,heartopia_th,199591,1649430,908
2026-06-05 07:13:01,heartopia_jp,61617,787151,1030
2026-06-05 07:13:01,heartopia_tw,30067,216403,977
2026-06-06 07:13:01,heartopia_en,639183,7396392,1055
2026-06-06 07:13:01,heartopia_th,199695,1656031,913
2026-06-06 07:13:01,heartopia_jp,61621,788009,1030
2026-06-06 07:13:01,heartopia_tw,30078,216896,1002
2026-06-07 07:13:01,heartopia_en,639142,7400741,1055
2026-06-07 07:13:01,heartopia_th,199875,1661881,914
2026-06-07 07:13:01,heartopia_jp,61620,789418,1030
2026-06-07 07:13:01,heartopia_tw,30105,217127,1002
2026-06-08 07:13:02,heartopia_en,639021,7404830,1055
2026-06-08 07:13:02,heartopia_th,200107,1668669,916
2026-06-08 07:13:02,heartopia_jp,61593,790863,1030
2026-06-08 07:13:02,heartopia_tw,30128,217452,1002
2026-06-09 07:13:01,heartopia_en,638886,7407975,1055
2026-06-09 07:13:01,heartopia_th,200176,1671952,928
2026-06-09 07:13:01,heartopia_jp,61566,792146,1030
2026-06-09 07:13:01,heartopia_tw,30137,217628,1002
2026-06-10 07:13:01,heartopia_en,638671,7411926,1055
2026-06-10 07:13:01,heartopia_th,200185,1674650,928
2026-06-10 07:13:01,heartopia_jp,61534,793288,1030
2026-06-10 07:13:01,heartopia_tw,30145,217830,1004
2026-06-11 07:13:01,heartopia_en,638478,7415405,1055
2026-06-11 07:13:01,heartopia_th,200223,1676733,930
2026-06-11 07:13:01,heartopia_jp,61524,794291,1030
2026-06-11 07:13:01,heartopia_tw,30149,218019,1005
2026-06-12 07:13:01,heartopia_en,638334,7418641,1055
2026-06-12 07:13:01,heartopia_th,200193,1678215,930
2026-06-12 07:13:01,heartopia_jp,61502,795211,1030
2026-06-12 07:13:01,heartopia_tw,30154,218165,1005
2026-06-13 07:13:01,heartopia_en,638140,7421819,1055
2026-06-13 07:13:01,heartopia_th,200172,1679429,931
2026-06-13 07:13:01,heartopia_jp,61467,796091,1030
2026-06-13 07:13:01,heartopia_tw,30143,218369,1006
2026-06-14 07:13:01,heartopia_en,638052,7435572,1055
2026-06-14 07:13:01,heartopia_th,200204,1681010,938
2026-06-14 07:13:01,heartopia_jp,61436,797144,1030
2026-06-14 07:13:01,heartopia_tw,30148,218657,1009
2026-06-15 07:13:01,heartopia_en,637884,7441646,1055
2026-06-15 07:13:01,heartopia_th,200168,1681551,938
2026-06-15 07:13:01,heartopia_jp,61401,798137,1030
2026-06-15 07:13:01,heartopia_tw,30138,218820,1009
2026-06-16 07:13:01,heartopia_en,637738,7458219,1055
2026-06-16 07:13:01,heartopia_th,200117,1682044,939
2026-06-16 07:13:01,heartopia_jp,61358,799295,1030
2026-06-16 07:13:01,heartopia_tw,30135,219109,1009
2026-06-17 07:13:01,heartopia_en,637647,7494225,1055
2026-06-17 07:13:01,heartopia_th,200087,1682543,940
2026-06-17 07:13:01,heartopia_jp,61325,800589,1030
2026-06-17 07:13:01,heartopia_tw,30129,219363,1012
2026-06-18 07:13:02,heartopia_en,637593,7521230,1055
2026-06-18 07:13:02,heartopia_th,200044,1683387,940
2026-06-18 07:13:02,heartopia_jp,61343,801801,1030
2026-06-18 07:13:02,heartopia_tw,30129,219773,1012
2026-06-19 07:13:01,heartopia_en,637487,7546727,1055
2026-06-19 07:13:01,heartopia_th,200031,1684016,940
2026-06-19 07:13:01,heartopia_jp,61339,802799,1030
2026-06-19 07:13:01,heartopia_tw,30146,220030,1012
2026-06-20 07:13:02,heartopia_en,637418,7571524,1055
2026-06-20 07:13:02,heartopia_th,200006,1685367,940
2026-06-20 07:13:02,heartopia_jp,61325,803949,1030
2026-06-20 07:13:02,heartopia_tw,30142,220337,1012
2026-06-21 07:13:02,heartopia_en,637360,7594676,1055
2026-06-21 07:13:02,heartopia_th,200024,1687299,952
2026-06-21 07:13:02,heartopia_jp,61309,805083,1030
2026-06-21 07:13:02,heartopia_tw,30147,220687,1012
2026-06-22 07:13:01,heartopia_en,637270,7610624,1055
2026-06-22 07:13:01,heartopia_th,200010,1689596,952
2026-06-22 07:13:01,heartopia_jp,61313,806165,1030
2026-06-22 07:13:01,heartopia_tw,30145,220945,1012
2026-06-23 07:13:01,heartopia_en,637153,7614553,1055
2026-06-23 07:13:01,heartopia_th,200000,1691290,952
2026-06-23 07:13:01,heartopia_jp,61311,806962,1030
2026-06-23 07:13:01,heartopia_tw,30143,221135,1012
2026-06-24 07:13:02,heartopia_en,637009,7618405,1055
2026-06-24 07:13:02,heartopia_th,199976,1692339,952
2026-06-24 07:13:02,heartopia_jp,61304,807654,1030
2026-06-24 07:13:02,heartopia_tw,30149,221250,1012
2026-06-25 07:13:01,heartopia_en,636999,7639398,1056
2026-06-25 07:13:01,heartopia_th,199995,1696181,952
2026-06-25 07:13:01,heartopia_jp,61302,808776,1030
2026-06-25 07:13:01,heartopia_tw,30168,221513,1012
2026-06-26 07:13:01,heartopia_en,636995,7648566,1056
2026-06-26 07:13:01,heartopia_th,200026,1698343,952
2026-06-26 07:13:01,heartopia_jp,61274,809546,1030
2026-06-26 07:13:01,heartopia_tw,30163,221709,1012
